# 52 TUs analysed, manual overrides: /home/aren/Nextcloud/Clients/Internal/CCR_Electronics/DiveCANHeadRev2/Firmware/scripts/wcs_manual.msu
Translation Unit                                                        Function Name                                     Stack  Unresolved Dependencies
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    post_failed_cell_entry                    unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    post_failed_timeout_entry                 unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp.c                       HandleSingleFrame.isra                    unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          fl_index_walk_cb                          unbounded:144  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/factory_image.c                       force_capture_work_handler                unbounded:140  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/factory_image.c                       factory_image_force_capture_async         unbounded:136  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/errors.c                              zbus_pub_checked                          unbounded:136  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/firmware_confirm.c                    firmware_confirm_init                     unbounded:136  (z_impl_k_wakeup)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp.c                       ISOTP_ProcessRxFrame                      unbounded:136  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_settings.c            UDS_GetSettingInfo                        unbounded:136  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_settings.c            UDS_GetSettingOptionLabel                 unbounded:136  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_log_push.c            UDS_LogPush_Init                          unbounded:136  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/factory_image.c                       get_chunk_buffer                                    136  
./Firmware/CMakeFiles/app.dir/src/factory_image.c                       capture_work_handler.part.0               unbounded:136  (__stack_chk_fail)
